frame,center_x,center_y,size_x,size_y
1,1536.0,851.0,800,1400
2,1572.9305,862.491,800,1400
3,1616.936,864.98517,800,1400
4,1648.0577,841.8639,800,1400
5,1663.6749,827.8638,800,1400
6,1668.5958,818.03345,800,1400
7,1692.5284,803.84406,800,1400
8,1725.9358,790.57916,800,1400
9,1750.4229,793.4637,800,1400
10,1765.814,794.01697,800,1400
11,1765.3926,787.82684,800,1400
12,1740.5525,778.503,800,1400
13,1760.1648,771.26416,800,1400
14,1819.953,739.98224,800,1400
15,1803.7405,736.82605,800,1400
16,1777.9207,764.1968,800,1400
17,1775.9332,779.71747,800,1400
18,1780.267,790.64246,800,1400
19,1780.5192,809.33704,800,1400
20,1771.6042,828.3874,800,1400
21,1763.3973,830.5305,800,1400
22,1773.0417,824.189,800,1400
23,1747.7576,837.2438,800,1400
24,1739.1885,871.86383,800,1400
25,1776.627,894.9558,800,1400
26,1803.027,887.458,800,1400
27,1831.1373,866.237,800,1400
28,1847.8436,858.7316,800,1400
29,1818.7822,871.8372,800,1400
30,1817.8159,859.7847,800,1400
31,1825.2263,848.6961,800,1400
32,1843.3883,818.70514,800,1400
33,1843.0242,806.9781,800,1400
34,1824.7338,818.8382,800,1400
35,1838.7461,846.12396,800,1400
36,1882.181,880.20795,800,1400
37,1939.1848,881.6627,800,1400
38,1954.0654,871.95624,800,1400
39,1932.3315,865.4433,800,1400
40,1859.6173,863.42883,800,1400
41,1797.878,863.872,800,1400
43,1703.1488,822.35583,800,1400
44,1719.7875,799.5408,800,1400
45,1758.0363,804.0017,800,1400
46,1772.1223,788.1112,800,1400
47,1745.9003,780.89667,800,1400
48,1750.0767,809.40045,800,1400
49,1767.0668,817.19354,800,1400
50,1784.604,802.5043,800,1400
51,1789.2588,795.5137,800,1400
52,1747.5055,808.3772,800,1400
53,1716.0344,822.3642,800,1400
54,1747.094,784.85266,800,1400
55,1806.4153,747.4866,800,1400
56,1809.3108,750.1213,800,1400
57,1786.3324,780.5234,800,1400
58,1775.6516,824.3453,800,1400
59,1795.4342,844.05853,800,1400
60,1824.7463,851.9728,800,1400
61,1832.4923,855.09247,800,1400
62,1828.681,855.93884,800,1400
63,1866.6475,835.3457,800,1400
64,1905.0991,811.80914,800,1400
65,1893.1653,810.5473,800,1400
66,1880.3116,806.4965,800,1400
67,1893.8737,802.6143,800,1400
68,1899.9818,815.8311,800,1400
69,1930.6385,827.83765,800,1400
70,1936.7,829.99347,800,1400
71,1945.5603,835.90814,800,1400
72,1930.4779,853.11945,800,1400
73,1908.4137,873.65546,800,1400
74,1910.4644,870.1346,800,1400
75,1940.7693,860.5728,800,1400
76,1961.6768,849.5099,800,1400
77,1976.1968,837.3543,800,1400
78,1993.6052,826.9744,800,1400
79,1999.1112,806.6237,800,1400
80,2014.9423,806.1357,800,1400
81,2043.0614,809.05304,800,1400
82,2092.6106,803.10614,800,1400
83,2076.9888,823.6339,800,1400
84,2031.1058,837.09534,800,1400
85,2032.0529,806.8974,800,1400
86,2085.3157,774.30664,800,1400
87,2099.187,765.01624,800,1400
88,2065.2969,790.3271,800,1400
89,2050.649,777.8519,800,1400
90,2092.025,784.4442,800,1400
91,2129.5378,795.5636,800,1400
92,2168.4644,816.0498,800,1400
93,2165.4023,839.64594,800,1400
94,2177.915,813.1389,800,1400
95,2161.0205,776.7959,800,1400
96,2138.7566,731.0598,800,1400
97,2154.6833,736.2439,800,1400
98,2154.6719,747.79034,800,1400
99,2140.2795,752.5762,800,1400
100,2159.7852,775.814,800,1400
101,2202.2239,780.5807,800,1400
102,2213.041,788.3756,800,1400
103,2198.1987,800.9129,800,1400
104,2151.5295,822.9923,800,1400
105,2118.282,818.50507,800,1400
106,2138.331,801.51013,800,1400
107,2168.783,814.0905,800,1400
108,2165.9238,818.2779,800,1400
109,2132.75,843.1649,800,1400
110,2101.0984,842.66547,800,1400
111,2092.8372,862.99207,800,1400
112,2122.8333,871.9628,800,1400
113,2129.5503,870.3819,800,1400
114,2124.3572,870.80396,800,1400
115,2109.5017,852.33875,800,1400
116,2119.509,816.8823,800,1400
117,2110.6821,813.5808,800,1400
118,2135.7786,819.0778,800,1400
119,2163.2356,820.8028,800,1400
120,2193.9944,849.15375,800,1400
121,2249.8047,855.46906,800,1400
122,2297.7214,834.8079,800,1400
