frame,center_x,center_y,size_x,size_y
1,1780.0,566.0,256,256
2,1783.4597,562.01556,256,256
3,1784.1494,569.6852,256,256
4,1787.2972,575.72003,256,256
5,1791.9307,583.8008,256,256
6,1809.2842,600.33673,256,256
7,1822.5604,613.35645,256,256
8,1837.7021,621.37494,256,256
9,1856.668,641.8685,256,256
10,1884.6971,674.3884,256,256
11,1912.8622,709.36,256,256
12,1936.2308,736.71747,256,256
13,1954.6641,699.00635,256,256
14,1935.8789,561.91956,256,256
15,1905.1525,497.3219,256,256
16,1871.8058,485.85812,256,256
17,1865.4087,459.49557,256,256
18,1888.9722,458.6615,256,256
19,1875.6929,494.18408,256,256
20,1910.3958,473.14017,256,256
21,1928.2961,460.05365,256,256
22,1941.9146,400.64444,256,256
23,1958.9751,388.66354,256,256
24,1978.7942,436.2816,256,256
25,1962.9333,458.3018,256,256
26,1969.7134,470.95566,256,256
27,1930.1981,528.05756,256,256
28,1871.9059,542.9389,256,256
29,1855.7656,504.7274,256,256
30,1873.7394,470.39636,256,256
31,1858.7302,499.22296,256,256
32,1835.7274,513.79285,256,256
33,1830.4559,539.0174,256,256
34,1825.8235,505.24915,256,256
35,1805.4353,453.83643,256,256
36,1781.4827,452.78586,256,256
37,1739.965,386.53793,256,256
38,1793.2572,386.28958,256,256
39,1808.1334,441.4508,256,256
40,1805.0625,459.61316,256,256
41,1862.9451,425.3887,256,256
42,1849.1683,416.78412,256,256
43,1806.9116,454.7827,256,256
44,1757.1521,474.34973,256,256
45,1720.9294,496.76764,256,256
46,1742.0612,507.46048,256,256
47,1780.6619,549.4701,256,256
48,1776.6127,550.5773,256,256
49,1777.3126,532.30493,256,256
50,1746.0305,544.7189,256,256
51,1803.3757,539.9308,256,256
52,1800.6389,479.9934,256,256
53,1657.6654,420.15045,256,256
54,1648.2424,359.83835,256,256
55,1616.8435,313.31168,256,256
56,1584.6868,338.80933,256,256
57,1618.9922,406.23688,256,256
58,1623.4761,517.5092,256,256
59,1656.8605,597.2588,256,256
60,1689.7716,648.0733,256,256
61,1742.6621,701.1564,256,256
62,1828.7975,679.93024,256,256
63,1836.3025,642.06006,256,256
64,1827.874,623.4659,256,256
65,1797.5688,640.5451,256,256
66,1783.8378,668.6015,256,256
67,1798.2008,652.8216,256,256
68,1833.9667,641.9475,256,256
69,1898.3214,648.6129,256,256
70,1990.9171,622.8942,256,256
71,1993.2727,599.9148,256,256
72,1997.9434,605.77905,256,256
73,2044.7957,632.67413,256,256
74,2068.6558,539.83075,256,256
75,2056.5322,444.45316,256,256
76,2034.5072,453.0514,256,256
77,2030.2499,460.44037,256,256
78,2009.2104,469.79504,256,256
79,1965.605,435.40747,256,256
80,1941.4247,418.566,256,256
81,1998.232,423.3169,256,256
82,2072.669,388.77777,256,256
83,2104.7168,378.7728,256,256
84,2147.5164,351.4629,256,256
