frame,center_x,center_y,size_x,size_y
1,887.0,595.0,700,700
2,876.60547,594.262,700,700
3,865.0296,594.6748,700,700
4,848.29083,594.8741,700,700
5,841.68646,594.4538,700,700
6,847.1683,599.89984,700,700
7,850.54645,607.99963,700,700
8,844.7034,611.70044,700,700
9,819.7572,618.8042,700,700
10,801.51276,628.26404,700,700
11,800.0663,620.3497,700,700
12,815.96313,599.0234,700,700
13,822.0433,577.23303,700,700
14,818.441,558.9419,700,700
15,812.65234,557.7298,700,700
16,806.61835,566.1733,700,700
17,797.74945,570.9564,700,700
18,778.6458,572.02966,700,700
19,756.4516,574.41144,700,700
20,738.1434,576.12994,700,700
21,729.11005,581.06116,700,700
22,744.8265,574.8094,700,700
23,768.08997,562.3328,700,700
24,769.96515,568.7099,700,700
25,777.2243,564.2428,700,700
26,756.8917,563.6545,700,700
31,765.95886,557.71124,700,700
32,757.6285,560.11194,700,700
33,757.1746,557.54047,700,700
34,754.8795,550.9652,700,700
35,753.1606,543.81085,700,700
36,752.2497,543.1494,700,700
37,741.882,540.7452,700,700
38,724.24066,534.7755,700,700
39,702.36664,530.96857,700,700
40,691.86993,535.9332,700,700
41,699.7744,536.2206,700,700
42,712.62396,534.3009,700,700
43,709.3482,526.1409,700,700
44,692.7615,517.8174,700,700
45,680.4747,512.3273,700,700
46,666.76904,507.9374,700,700
47,656.29114,508.9006,700,700
48,650.1651,508.78882,700,700
49,665.0216,521.38184,700,700
50,701.64624,540.3137,700,700
51,728.9167,550.8757,700,700
52,730.64215,545.18427,700,700
53,699.8664,530.0974,700,700
54,665.2687,516.9302,700,700
55,635.1867,501.03998,700,700
56,620.5062,493.4714,700,700
57,627.9578,488.75262,700,700
58,642.95166,480.26157,700,700
59,649.2844,482.01392,700,700
61,782.0806,494.0822,700,700
62,778.5379,488.77618,700,700
66,767.89514,481.16373,700,700
67,753.4775,488.40433,700,700
68,746.63635,497.12866,700,700
69,754.9906,518.2183,700,700
70,757.23676,524.5117,700,700
71,764.1832,523.3584,700,700
72,754.9433,510.787,700,700
73,747.51575,504.99384,700,700
74,744.2476,490.80096,700,700
75,739.3822,483.02597,700,700
76,737.0719,483.1944,700,700
77,743.1054,485.55646,700,700
78,754.89636,499.2667,700,700
79,770.00085,511.95837,700,700
80,766.5015,509.5295,700,700
81,758.4699,503.47073,700,700
82,745.0486,500.99603,700,700
83,741.76605,501.7224,700,700
84,724.0336,505.41275,700,700
85,705.7362,513.6107,700,700
86,684.5265,514.63,700,700
87,670.9477,518.0937,700,700
88,660.9134,524.86694,700,700
89,666.17065,532.2444,700,700
90,673.11456,531.28296,700,700
91,678.72546,525.12463,700,700
92,675.50397,524.12994,700,700
93,666.5146,524.0854,700,700
94,649.803,519.38995,700,700
95,634.95013,516.7933,700,700
96,635.975,517.0285,700,700
97,652.54346,520.8247,700,700
98,678.07544,530.95593,700,700
99,696.84283,544.42145,700,700
100,708.80304,547.4739,700,700
101,709.87256,541.62274,700,700
102,698.82367,537.85126,700,700
103,693.68756,533.25116,700,700
104,689.33185,534.31793,700,700
105,692.22314,533.2859,700,700
106,699.19836,533.075,700,700
107,691.16675,537.7757,700,700
108,676.5063,553.92175,700,700
109,663.0462,565.89215,700,700
110,655.1569,571.2154,700,700
111,647.8806,571.2984,700,700
112,638.09155,571.3876,700,700
113,631.6145,568.75183,700,700
114,636.5357,530.16425,700,700
115,639.4288,527.5482,700,700
116,634.4755,524.537,700,700
117,624.04034,528.23126,700,700
118,613.6662,533.60645,700,700
119,604.33405,533.8715,700,700
120,606.2311,535.24835,700,700
121,620.86584,531.3768,700,700
122,652.3304,529.8764,700,700
123,697.806,497.6184,700,700
124,722.3436,493.62485,700,700
125,725.9999,491.83923,700,700
126,701.50995,487.2776,700,700
127,669.8458,492.47733,700,700
128,640.70776,500.84384,700,700
129,617.60864,510.50546,700,700
130,611.2792,511.383,700,700
131,622.33905,508.52594,700,700
132,640.8022,505.36288,700,700
135,813.0363,579.9104,700,700
136,830.6744,569.3475,700,700
137,834.3319,560.9104,700,700
138,828.79425,559.3679,700,700
139,814.5193,570.51013,700,700
140,803.35675,574.9725,700,700
141,801.8561,576.654,700,700
142,812.23035,577.9815,700,700
143,827.72034,579.36304,700,700
144,854.72723,577.6398,700,700
145,880.18146,574.68665,700,700
146,899.05164,574.23553,700,700
147,900.6659,570.00146,700,700
148,877.2819,571.3674,700,700
149,840.3994,590.8545,700,700
150,804.003,593.5344,700,700
151,779.11993,587.264,700,700
152,779.97253,585.25806,700,700
153,795.1565,576.30695,700,700
154,815.2524,573.73096,700,700
155,830.81085,571.9487,700,700
156,845.8314,570.83813,700,700
157,845.542,570.8018,700,700
158,834.02954,571.2445,700,700
159,821.6347,571.5872,700,700
160,809.3226,570.22815,700,700
161,798.30963,566.6528,700,700
162,792.1845,560.89496,700,700
163,790.72485,555.0513,700,700
