frame,center_x,center_y,size_x,size_y
1,450.0,250.0,500,500
2,447.72748,249.52594,500,500
3,443.3767,250.22307,500,500
4,438.1678,250.39835,500,500
5,436.4322,249.0353,500,500
6,438.9927,247.7682,500,500
7,448.50916,248.08846,500,500
8,458.99875,249.51552,500,500
9,466.83792,252.72429,500,500
10,475.65005,253.9236,500,500
11,474.8325,250.95134,500,500
12,467.04507,246.05028,500,500
13,458.8143,242.50143,500,500
14,451.22113,238.06613,500,500
15,449.7735,233.40552,500,500
16,451.81992,229.29636,500,500
17,456.2467,226.26614,500,500
18,460.80377,227.28691,500,500
19,468.1021,231.75607,500,500
20,470.66147,234.19807,500,500
21,468.14725,234.54865,500,500
22,462.2934,234.34738,500,500
23,454.88498,236.3763,500,500
24,450.02902,240.4815,500,500
25,445.33142,242.48914,500,500
26,444.3272,245.20567,500,500
27,445.87408,249.71638,500,500
28,450.6447,253.95319,500,500
29,451.50632,258.47614,500,500
30,440.70905,259.84863,500,500
31,429.7274,258.71542,500,500
32,422.96555,258.78632,500,500
33,421.4426,255.42892,500,500
34,428.96848,251.13391,500,500
35,444.42993,248.28319,500,500
36,462.05896,249.02194,500,500
37,479.6574,249.73172,500,500
38,493.64288,249.47516,500,500
39,497.75113,246.36813,500,500
40,496.82547,243.33998,500,500
41,495.01428,242.95575,500,500
42,496.07104,241.26968,500,500
43,501.07303,240.9385,500,500
44,507.8091,241.11821,500,500
45,516.89874,241.48784,500,500
46,519.4076,243.67267,500,500
47,516.936,244.09006,500,500
48,511.84274,241.15091,500,500
49,506.47922,238.77222,500,500
50,508.45154,239.09712,500,500
51,509.17197,240.2269,500,500
52,510.9661,242.75249,500,500
53,512.06537,244.4067,500,500
54,513.06287,245.2766,500,500
55,514.7676,245.56216,500,500
56,521.4515,245.968,500,500
57,534.0227,248.82777,500,500
58,539.7705,251.1345,500,500
59,537.4114,251.30946,500,500
60,526.2194,249.0159,500,500
61,515.13806,248.18654,500,500
62,508.2727,246.78055,500,500
63,504.41333,244.81914,500,500
64,505.6656,243.18082,500,500
65,509.6556,244.3308,500,500
66,517.60425,248.43953,500,500
67,520.00195,253.27336,500,500
68,517.3119,256.5223,500,500
69,510.31494,253.2711,500,500
70,500.40338,247.36188,500,500
71,498.29166,241.85059,500,500
72,495.99326,236.38101,500,500
73,504.26205,234.7035,500,500
74,513.95667,239.86763,500,500
75,521.29724,247.14049,500,500
76,519.20526,255.72122,500,500
77,507.4459,256.88434,500,500
78,496.619,254.12384,500,500
79,490.9593,250.91022,500,500
80,489.0475,246.21968,500,500
81,491.665,241.0627,500,500
82,502.26718,238.8015,500,500
83,515.09595,241.19315,500,500
84,521.89,245.96005,500,500
85,522.63696,250.98778,500,500
86,515.30383,254.79837,500,500
87,512.51483,258.81064,500,500
88,509.2012,260.21014,500,500
89,509.8041,258.89423,500,500
90,506.8753,254.72838,500,500
91,506.32767,251.97693,500,500
92,512.19385,254.07144,500,500
93,523.7781,256.3487,500,500
94,534.3706,259.3446,500,500
95,537.4264,258.92572,500,500
96,535.8268,255.90747,500,500
97,531.1762,252.78233,500,500
