frame,center_x,center_y,size_x,size_y
4,635.9444,388.51233,700,700
5,619.37476,389.5404,700,700
6,609.5396,395.49036,700,700
7,604.5156,402.3345,700,700
8,587.9711,410.0784,700,700
9,577.2004,414.5403,700,700
10,574.8034,422.74667,700,700
11,579.5276,416.9008,700,700
12,600.4523,418.59567,700,700
13,618.07367,416.9262,700,700
14,625.8936,414.03394,700,700
15,600.3689,404.84973,700,700
16,570.2341,398.24146,700,700
17,545.3161,401.30493,700,700
18,544.213,409.33777,700,700
19,561.06995,422.46365,700,700
20,563.129,418.94452,700,700
21,591.52826,412.5516,700,700
22,610.01,395.23828,700,700
23,598.94354,374.65222,700,700
24,586.75073,371.41348,700,700
25,565.66455,373.98102,700,700
26,542.7832,375.82523,700,700
27,514.4829,374.8111,700,700
28,488.3512,386.27933,700,700
29,496.138,393.32224,700,700
30,562.6167,390.20084,700,700
31,592.28217,386.3424,700,700
32,576.11523,382.41733,700,700
33,556.413,382.0614,700,700
34,537.11176,371.15787,700,700
35,514.8163,356.80484,700,700
36,541.71674,345.65204,700,700
37,528.94073,355.92365,700,700
38,549.3367,357.4623,700,700
39,565.0816,365.88113,700,700
40,548.8314,340.15207,700,700
41,550.36005,337.13693,700,700
42,538.85785,331.63272,700,700
43,516.0962,334.80756,700,700
44,497.26987,331.09137,700,700
45,528.4206,318.23047,700,700
46,567.7851,333.6427,700,700
47,604.2411,333.79684,700,700
48,628.1815,322.3817,700,700
49,630.85815,319.73547,700,700
50,624.9485,318.0943,700,700
51,613.5477,320.1034,700,700
52,596.10944,321.36264,700,700
53,582.32477,307.12744,700,700
54,561.2242,310.84494,700,700
55,545.90344,317.99243,700,700
56,538.1535,320.58926,700,700
57,564.0781,319.1142,700,700
58,563.4232,317.09982,700,700
59,542.6195,301.38583,700,700
60,530.4113,291.38358,700,700
61,517.8068,284.0465,700,700
62,526.98224,257.02032,700,700
63,515.4516,265.053,700,700
64,512.7115,271.79346,700,700
