frame,center_x,center_y,size_x,size_y
1,379.0,283.0,500,500
2,402.20087,290.279,500,500
3,439.24518,292.8944,500,500
4,478.5003,294.06705,500,500
5,499.2803,291.77795,500,500
6,494.7964,283.27155,500,500
7,469.81564,270.8667,500,500
8,441.64676,257.77905,500,500
9,428.60965,258.69025,500,500
10,421.18732,263.50845,500,500
11,423.2541,271.33075,500,500
12,421.42358,274.07446,500,500
13,418.03973,273.8933,500,500
14,419.30887,270.7509,500,500
15,421.2212,267.7748,500,500
16,417.30243,262.15558,500,500
17,402.8535,254.9237,500,500
18,386.29587,251.17421,500,500
19,372.78452,250.33514,500,500
20,368.78665,250.7749,500,500
21,372.78235,253.35193,500,500
24,471.4385,320.0908,500,500
25,471.68344,321.90598,500,500
26,464.38733,321.96396,500,500
29,410.29855,267.25397,500,500
30,363.32098,276.39087,500,500
35,413.98322,311.99045,500,500
36,426.77267,306.90884,500,500
40,429.77158,258.47272,500,500
41,437.42133,259.73627,500,500
42,440.14505,259.6775,500,500
43,440.17166,261.91254,500,500
44,439.30142,261.3888,500,500
45,445.9336,265.2539,500,500
46,454.4779,263.20834,500,500
47,455.4968,256.05762,500,500
48,453.62112,251.77702,500,500
49,451.06378,252.11919,500,500
50,451.8247,258.47275,500,500
51,459.2203,263.78906,500,500
52,463.27792,268.1927,500,500
53,464.60138,268.7321,500,500
54,463.74203,266.76465,500,500
55,465.6429,261.06354,500,500
56,465.84097,255.84091,500,500
57,464.74698,251.26054,500,500
58,454.0345,247.98178,500,500
59,434.48062,242.34048,500,500
61,452.6238,251.49808,500,500
62,457.02087,247.51733,500,500
63,478.12332,243.22841,500,500
64,508.31613,243.26772,500,500
65,541.83636,249.05121,500,500
66,563.82385,258.53387,500,500
67,569.94775,264.00598,500,500
68,565.0765,264.73648,500,500
69,547.07916,263.69336,500,500
70,518.4412,262.1833,500,500
71,494.23895,261.7395,500,500
72,480.81763,264.00732,500,500
73,478.26736,264.14822,500,500
74,481.07852,263.46564,500,500
77,501.00366,237.92053,500,500
78,497.5273,234.82124,500,500
79,496.94855,233.49901,500,500
80,494.9617,235.85687,500,500
81,491.96545,236.85208,500,500
82,489.94577,236.62599,500,500
83,484.93567,236.63339,500,500
84,481.82816,238.56532,500,500
85,484.74188,240.85597,500,500
86,488.57834,243.77701,500,500
87,486.8653,244.21048,500,500
88,478.69217,243.51099,500,500
89,467.9876,241.63936,500,500
90,464.93985,237.9903,500,500
91,474.02435,237.00356,500,500
92,488.86435,237.87125,500,500
93,504.18112,241.35349,500,500
96,518.5594,256.16806,500,500
97,496.70264,252.0137,500,500
98,467.78717,248.01106,500,500
99,443.9779,246.98784,500,500
100,436.63593,246.91043,500,500
101,440.83228,247.4456,500,500
102,449.58014,249.01476,500,500
103,455.80545,252.31825,500,500
104,456.11392,253.83578,500,500
105,451.1469,254.96075,500,500
106,441.25146,253.18906,500,500
107,426.72733,249.74579,500,500
108,410.843,246.32234,500,500
109,403.15125,242.14236,500,500
110,408.94827,238.16391,500,500
111,420.0101,238.17268,500,500
112,429.1042,237.82596,500,500
113,435.6591,238.73257,500,500
114,436.24594,236.7347,500,500
115,432.77963,232.49126,500,500
116,421.0885,227.10085,500,500
117,406.74207,225.00443,500,500
118,396.90988,220.70038,500,500
119,403.6978,218.91621,500,500
120,420.71268,220.89278,500,500
121,441.5366,222.68567,500,500
122,456.08832,222.00806,500,500
123,461.27292,219.88231,500,500
124,460.8726,214.95514,500,500
125,456.97052,208.01576,500,500
126,452.91946,204.84155,500,500
127,450.63898,204.80977,500,500
128,443.21347,205.54695,500,500
129,431.03406,204.02182,500,500
130,419.57965,204.20978,500,500
131,405.33322,205.79497,500,500
132,390.16687,209.76677,500,500
133,375.03995,212.94913,500,500
134,365.62057,213.1215,500,500
135,356.32523,211.91913,500,500
136,343.1341,210.40118,500,500
139,499.98206,305.54102,500,500
140,501.3446,307.6855,500,500
141,502.40326,304.8557,500,500
143,497.02658,243.80884,500,500
144,481.33936,238.92715,500,500
145,464.56003,234.7994,500,500
146,443.14346,229.78339,500,500
148,413.5035,250.01761,500,500
149,416.96875,250.9478,500,500
150,422.73764,255.09389,500,500
151,422.29565,260.85675,500,500
152,418.7107,262.57083,500,500
153,408.58914,260.32913,500,500
154,394.88638,255.71814,500,500
155,376.583,252.22797,500,500
158,421.28653,272.44843,500,500
159,438.32047,284.0657,500,500
160,450.19778,296.1486,500,500
161,460.04187,307.3689,500,500
162,466.2553,314.88382,500,500
163,469.48993,319.65427,500,500
