frame,center_x,center_y,size_x,size_y
1,707.0,510.0,700,700
2,708.85065,507.38885,700,700
3,716.30206,503.99765,700,700
4,728.0589,503.18585,700,700
5,746.5686,502.31464,700,700
6,765.7544,500.30588,700,700
7,781.89075,502.0884,700,700
8,791.6239,505.08087,700,700
9,795.92566,510.59207,700,700
10,799.71875,512.8721,700,700
11,808.3717,513.3946,700,700
12,820.9809,510.52234,700,700
13,827.4794,508.9002,700,700
14,826.8089,505.92017,700,700
15,825.79224,502.20312,700,700
16,834.49646,502.63147,700,700
17,843.3226,501.7088,700,700
18,856.8639,495.93488,700,700
19,867.03265,490.28146,700,700
20,877.00385,487.78265,700,700
21,890.11914,490.75348,700,700
22,908.68164,497.69217,700,700
23,931.3524,501.0629,700,700
24,949.27325,505.83615,700,700
25,957.0731,512.9363,700,700
26,955.24243,509.819,700,700
27,957.0666,506.9202,700,700
28,977.98846,499.95325,700,700
29,1001.94415,494.7008,700,700
30,1017.63214,488.26108,700,700
31,1016.35876,484.46515,700,700
32,1008.9444,485.70984,700,700
33,1008.4856,488.6617,700,700
34,1031.8679,491.1774,700,700
35,1063.7773,493.018,700,700
36,1081.0494,488.35623,700,700
37,1071.4484,483.65405,700,700
38,1049.8239,479.0914,700,700
39,1026.4023,482.44608,700,700
40,1013.5956,483.00974,700,700
41,1013.22974,483.7115,700,700
42,1012.87897,485.18414,700,700
43,1011.5183,490.19427,700,700
44,1010.4141,503.15536,700,700
45,1013.0815,521.32916,700,700
46,1023.2606,536.67535,700,700
47,1019.98627,547.89703,700,700
48,999.6542,543.5453,700,700
49,973.9777,537.7268,700,700
50,950.25836,533.0123,700,700
51,934.03235,531.3494,700,700
52,944.0331,527.9471,700,700
53,964.67676,523.3823,700,700
54,982.0751,514.17163,700,700
55,991.81415,504.96158,700,700
56,991.57446,500.8467,700,700
57,989.4814,499.97607,700,700
58,989.4396,505.25055,700,700
59,991.19824,508.7235,700,700
60,981.51697,503.8006,700,700
61,967.3421,500.7821,700,700
62,961.83575,494.66214,700,700
63,967.17914,487.90518,700,700
64,977.3253,480.89078,700,700
65,984.1476,478.3239,700,700
66,984.2833,480.90192,700,700
67,980.2292,484.5953,700,700
68,986.95605,488.15738,700,700
69,1004.75116,496.08847,700,700
70,1015.4811,506.4978,700,700
71,1014.219,511.8636,700,700
72,1003.5245,514.85706,700,700
73,1002.64526,514.692,700,700
74,1017.4363,511.2671,700,700
75,1036.4232,504.97247,700,700
76,1047.6116,496.82532,700,700
77,1055.4713,492.83267,700,700
78,1061.1473,493.94107,700,700
79,1067.3207,492.92148,700,700
80,1074.1896,497.77603,700,700
81,1083.3623,503.4279,700,700
82,1098.685,504.58917,700,700
83,1097.3567,505.34256,700,700
84,1086.2183,503.98935,700,700
85,1070.1688,501.28232,700,700
86,1069.2042,499.06497,700,700
87,1079.3757,497.9254,700,700
88,1088.1696,499.67264,700,700
89,1089.8585,500.44232,700,700
90,1089.7988,501.97232,700,700
91,1100.9701,505.0078,700,700
92,1117.5671,512.0934,700,700
93,1135.7589,521.5296,700,700
94,1145.5272,524.2863,700,700
95,1190.9128,530.8091,700,700
96,1142.0425,526.7284,700,700
97,1114.6346,522.8692,700,700
98,1084.8381,514.5561,700,700
99,1082.2527,511.0907,700,700
100,1085.608,510.54666,700,700
101,1087.9082,513.55457,700,700
102,1092.0778,519.0104,700,700
103,1098.2212,526.5811,700,700
104,1088.4047,529.29614,700,700
105,1085.6587,531.2431,700,700
106,1081.7893,528.2895,700,700
107,1079.9062,524.3382,700,700
108,1078.6848,515.3,700,700
109,1082.94,506.53513,700,700
112,903.4871,482.40402,700,700
113,908.8102,487.4579,700,700
114,921.9565,494.40503,700,700
115,933.1386,500.18607,700,700
116,944.2505,500.48444,700,700
117,954.14,494.23376,700,700
118,962.25757,480.13174,700,700
119,964.71405,465.37332,700,700
120,962.593,450.01422,700,700
121,958.25446,433.744,700,700
122,958.5447,422.33206,700,700
123,967.1533,417.1817,700,700
124,982.42615,417.6862,700,700
125,997.5654,431.66656,700,700
126,1009.93115,446.33646,700,700
127,1015.7268,458.1442,700,700
128,1012.6998,467.19296,700,700
129,1009.505,474.47018,700,700
130,1007.6954,478.27194,700,700
131,1001.5797,478.3727,700,700
132,994.355,471.95648,700,700
133,992.0098,468.26135,700,700
134,1000.5458,470.08496,700,700
135,1015.62946,474.61203,700,700
136,1029.8004,484.7862,700,700
137,1038.416,493.60443,700,700
138,1041.8884,499.32993,700,700
139,1039.8837,499.64496,700,700
140,1047.8606,492.0757,700,700
141,1059.7894,483.02335,700,700
142,1070.189,473.3656,700,700
143,1075.3545,465.79886,700,700
144,1082.8776,466.09174,700,700
145,1093.3347,465.95663,700,700
146,1107.2948,470.31512,700,700
147,1119.2737,476.85397,700,700
148,1124.7747,481.2866,700,700
149,1120.1707,481.97842,700,700
150,1111.6093,483.14197,700,700
152,985.8665,487.83105,700,700
153,987.8637,479.29755,700,700
154,985.5304,472.55063,700,700
155,983.0935,474.4838,700,700
156,980.8537,484.09607,700,700
157,978.38153,502.23706,700,700
158,976.30066,525.4636,700,700
159,967.42,538.9729,700,700
160,962.67834,542.93054,700,700
161,968.8897,540.88745,700,700
162,985.60175,537.7278,700,700
163,1003.1778,533.7855,700,700
164,1006.4577,529.0236,700,700
165,1003.98285,522.27637,700,700
166,1001.3571,515.2301,700,700
167,995.6286,510.6177,700,700
168,991.5313,513.13654,700,700
169,996.4511,519.7382,700,700
170,1004.06586,526.3898,700,700
171,1011.05084,529.26935,700,700
172,1018.37445,526.4887,700,700
173,1020.77203,522.38446,700,700
174,1014.8731,515.61804,700,700
175,1009.13385,506.25885,700,700
176,1010.1097,497.83878,700,700
177,1016.9541,494.33734,700,700
178,1026.3627,491.6504,700,700
179,1040.6171,495.08795,700,700
180,1055.6968,499.13562,700,700
181,1060.9053,500.65656,700,700
182,1060.0361,498.16165,700,700
183,1053.8582,493.5177,700,700
184,1043.6829,489.01303,700,700
185,1032.1746,487.28424,700,700
186,1023.43854,485.26334,700,700
187,1023.1787,486.1189,700,700
188,1031.0315,488.32172,700,700
189,1040.5396,489.13486,700,700
190,1053.6293,497.88132,700,700
191,1062.6042,509.8224,700,700
192,1064.0464,521.41235,700,700
193,1054.59,527.0004,700,700
194,1053.6384,523.28076,700,700
195,1059.4061,517.4642,700,700
196,1070.0519,508.10614,700,700
197,1087.7125,498.27573,700,700
198,1109.7574,492.23557,700,700
199,1127.8922,486.9787,700,700
200,1142.3784,487.72855,700,700
201,1151.4436,494.16306,700,700
202,1151.732,505.55948,700,700
203,1143.7301,510.50888,700,700
204,1123.6273,511.29935,700,700
205,1091.3254,512.1902,700,700
206,1057.2979,513.27765,700,700
207,1033.3334,514.55743,700,700
208,1028.6456,519.9953,700,700
209,1036.5734,526.7893,700,700
210,1054.0358,534.5935,700,700
211,1068.4513,540.29205,700,700
212,1080.0985,544.5226,700,700
213,1083.0985,544.2382,700,700
214,1088.8729,541.7278,700,700
215,1096.9791,539.11584,700,700
216,1106.4283,538.22565,700,700
217,1110.5741,536.5243,700,700
218,1106.0181,534.1642,700,700
219,1104.7476,530.2266,700,700
220,1106.6818,528.2583,700,700
221,1115.3087,528.57635,700,700
222,1123.6649,532.964,700,700
223,1116.1832,533.7102,700,700
224,1101.7922,528.02057,700,700
225,1086.5547,521.47217,700,700
226,1086.3431,512.88403,700,700
227,1090.2013,504.86707,700,700
228,1092.0244,495.96594,700,700
229,1083.0638,490.91656,700,700
230,1070.9159,491.20612,700,700
231,1063.1533,492.96564,700,700
232,1069.426,497.67917,700,700
233,1081.951,501.06027,700,700
234,1095.1982,504.79276,700,700
235,1102.1687,507.90533,700,700
236,1106.2551,510.3982,700,700
237,1094.5187,511.99524,700,700
238,1073.8036,513.9831,700,700
239,1056.5653,517.4752,700,700
240,1053.3038,525.0407,700,700
241,1067.6206,533.6621,700,700
242,1089.5216,541.00885,700,700
243,1107.2377,549.0555,700,700
244,1112.9066,555.3563,700,700
245,1110.4236,561.3938,700,700
246,1097.3466,565.5588,700,700
247,1081.4657,563.6962,700,700
248,1060.4232,559.728,700,700
249,1039.235,552.163,700,700
250,1028.3689,542.06616,700,700
251,1033.09,536.0912,700,700
252,1044.7898,533.99677,700,700
253,1054.3973,532.9096,700,700
254,1064.2959,537.58813,700,700
255,1068.2179,545.88837,700,700
256,1071.6943,553.4179,700,700
257,1068.7917,559.7472,700,700
258,1061.1953,558.21625,700,700
259,1056.0278,552.68097,700,700
260,1053.1912,545.5019,700,700
261,1056.3799,534.03253,700,700
262,1054.3445,520.708,700,700
263,1056.3164,511.7431,700,700
264,1062.331,509.46622,700,700
265,1068.9473,515.56396,700,700
266,1067.7356,528.7727,700,700
267,1059.0835,539.2955,700,700
268,1040.4113,549.5767,700,700
269,1023.6296,552.91943,700,700
270,1012.711,554.85986,700,700
271,1008.0825,559.6822,700,700
272,1004.1949,560.39465,700,700
273,1000.67395,559.87604,700,700
274,1004.3246,560.9177,700,700
275,1006.9328,560.1739,700,700
276,1016.90967,556.45685,700,700
277,1026.4971,556.07526,700,700
278,1031.7623,552.951,700,700
279,1022.31244,552.15735,700,700
280,1009.68115,551.4632,700,700
281,998.72943,548.2752,700,700
282,989.4791,544.55676,700,700
283,987.7013,536.2973,700,700
284,986.5742,535.26044,700,700
285,980.58496,528.06995,700,700
286,987.9055,535.77795,700,700
287,994.1489,539.2563,700,700
288,998.6475,539.26514,700,700
289,1000.3274,537.54535,700,700
290,1002.0003,532.9383,700,700
291,1000.2992,528.9727,700,700
292,994.5554,515.95325,700,700
293,990.30444,509.58463,700,700
294,989.04236,506.9972,700,700
