frame,center_x,center_y,size_x,size_y
4,1865.0107,1011.20087,800,1400
5,1870.8406,1010.1656,800,1400
6,1870.3928,1001.64905,800,1400
7,1877.7421,993.0013,800,1400
8,1886.0197,992.1124,800,1400
9,1888.6395,991.70325,800,1400
10,1880.997,991.6801,800,1400
11,1872.125,996.0668,800,1400
12,1866.7709,1000.38226,800,1400
13,1863.9072,992.7619,800,1400
14,1868.0967,980.75073,800,1400
15,1869.4082,972.7058,800,1400
16,1875.4043,965.8238,800,1400
17,1895.7748,955.69727,800,1400
18,1934.7148,920.7716,800,1400
19,1963.2842,915.6601,800,1400
20,2006.4839,909.93823,800,1400
21,1981.2936,895.45374,800,1400
22,1947.9849,886.3866,800,1400
23,1966.0035,914.9376,800,1400
24,1938.0503,930.6102,800,1400
25,1894.4265,928.0074,800,1400
26,1838.6968,923.2947,800,1400
27,1838.9008,907.8435,800,1400
28,1888.9994,923.2478,800,1400
29,1889.49,927.95685,800,1400
30,1859.4003,937.9335,800,1400
31,1882.2406,943.5751,800,1400
32,1890.0419,944.62445,800,1400
33,1943.4716,978.6045,800,1400
34,1986.6447,967.49744,800,1400
35,2021.6342,912.7803,800,1400
36,1989.602,871.05005,800,1400
37,1943.1445,869.0537,800,1400
40,1901.8665,1041.9578,800,1400
41,1919.1869,991.35223,800,1400
42,1910.7148,1004.3432,800,1400
43,1852.7898,994.81995,800,1400
44,1783.2451,986.2267,800,1400
45,1764.801,979.9409,800,1400
46,1788.6028,985.0963,800,1400
47,1903.8093,951.32275,800,1400
48,1985.3635,917.76465,800,1400
49,2008.5421,901.3745,800,1400
50,1985.8267,891.8387,800,1400
51,1936.8998,889.10583,800,1400
52,1891.8956,876.6705,800,1400
53,1828.829,892.18616,800,1400
54,1765.8524,925.7941,800,1400
55,1758.4539,963.4982,800,1400
56,1773.1469,947.79346,800,1400
57,1752.8168,919.19855,800,1400
58,1762.8225,918.74695,800,1400
59,1809.0605,918.0339,800,1400
60,1883.2634,875.0362,800,1400
61,1909.6371,867.96277,800,1400
63,1869.7869,824.24207,800,1400
64,1778.5569,866.26117,800,1400
65,1732.8113,877.8596,800,1400
66,1771.843,896.23413,800,1400
67,1812.5372,870.53644,800,1400
68,1829.375,826.9194,800,1400
69,1838.3201,819.7288,800,1400
71,1967.9575,752.81537,800,1400
72,1983.8866,739.1383,800,1400
73,1939.3518,752.6983,800,1400
74,1843.3092,739.21826,800,1400
75,1737.132,727.18536,800,1400
76,1728.3755,727.8731,800,1400
81,1702.8684,870.4301,800,1400
82,1779.8457,813.84503,800,1400
86,1794.6774,800.0193,800,1400
87,1757.6315,825.6801,800,1400
88,1757.7815,829.6499,800,1400
89,1786.1937,825.052,800,1400
90,1833.0221,816.7791,800,1400
91,1862.0106,807.7342,800,1400
92,1843.1359,807.2131,800,1400
93,1819.7898,807.39655,800,1400
94,1842.4258,806.9332,800,1400
95,1756.8673,826.3683,800,1400
96,1667.8771,869.7523,800,1400
97,1566.9075,868.557,800,1400
98,1435.5017,853.81805,800,1400
99,1421.7554,839.3013,800,1400
100,1552.66,827.93365,800,1400
101,1652.389,809.1081,800,1400
102,1698.2081,786.48724,800,1400
103,1694.3978,801.6548,800,1400
104,1674.4486,831.1883,800,1400
105,1613.9188,866.6931,800,1400
106,1595.8125,859.6268,800,1400
107,1640.2117,849.72253,800,1400
108,1696.3228,853.89105,800,1400
109,1709.1257,823.5516,800,1400
110,1728.3965,777.1017,800,1400
111,1728.1509,775.7163,800,1400
112,1695.4103,773.0231,800,1400
113,1684.7429,783.5463,800,1400
114,1637.5348,791.0982,800,1400
115,1611.7941,822.7945,800,1400
116,1560.6647,853.032,800,1400
117,1502.7711,866.155,800,1400
118,1457.6194,856.2601,800,1400
119,1437.3083,858.2982,800,1400
120,1392.2881,850.43475,800,1400
121,1365.3055,829.7393,800,1400
122,1404.3802,820.4341,800,1400
123,1466.8204,828.379,800,1400
124,1508.7476,813.11414,800,1400
125,1499.8103,825.9815,800,1400
126,1442.864,842.01074,800,1400
127,1405.3662,850.8032,800,1400
129,1556.4725,849.25104,800,1400
130,1538.1652,849.2356,800,1400
131,1550.0602,852.2776,800,1400
132,1584.4636,866.17664,800,1400
133,1655.2017,835.5697,800,1400
134,1739.8016,794.9065,800,1400
135,1759.0868,799.87854,800,1400
136,1727.215,830.4873,800,1400
137,1718.7388,821.4834,800,1400
138,1771.0208,801.5346,800,1400
139,1771.2559,795.62744,800,1400
140,1704.9314,800.9539,800,1400
141,1653.7014,804.1103,800,1400
142,1630.2064,793.858,800,1400
143,1630.9164,799.7004,800,1400
144,1693.7072,801.37286,800,1400
145,1756.0684,761.2296,800,1400
146,1769.9716,752.2606,800,1400
147,1779.0736,766.3257,800,1400
148,1719.7572,773.8654,800,1400
149,1597.7125,799.4178,800,1400
150,1511.7789,796.23615,800,1400
151,1505.4956,822.7469,800,1400
152,1508.7588,842.2852,800,1400
153,1529.1205,826.5795,800,1400
154,1580.5574,811.1994,800,1400
155,1624.6149,809.14886,800,1400
156,1650.4517,807.7955,800,1400
157,1662.414,778.75525,800,1400
158,1643.823,771.3876,800,1400
159,1621.4015,754.90894,800,1400
160,1603.0797,760.69476,800,1400
161,1631.1183,804.791,800,1400
