frame,center_x,center_y,size_x,size_y
77,1073.0945,538.32623,800,1400
78,1068.978,528.43506,800,1400
79,1069.0492,519.54944,800,1400
80,1071.5327,520.18475,800,1400
81,1080.0105,523.24585,800,1400
82,1086.7057,527.78595,800,1400
83,1077.9409,534.24603,800,1400
84,1069.5514,535.8923,800,1400
85,1073.984,537.3808,800,1400
86,1094.2662,535.8305,800,1400
87,1103.012,540.8394,800,1400
88,1095.2517,537.74646,800,1400
89,1090.2593,528.89417,800,1400
90,1091.0581,525.0101,800,1400
91,1102.3336,523.2404,800,1400
92,1120.9974,524.08453,800,1400
93,1146.2098,531.8272,800,1400
94,1172.5632,534.18866,800,1400
95,1178.1852,531.6327,800,1400
96,1172.6588,526.87384,800,1400
97,1163.6627,521.7752,800,1400
98,1162.335,522.36194,800,1400
99,1163.4667,526.727,800,1400
100,1162.3551,526.9027,800,1400
101,1168.8077,519.73596,800,1400
102,1169.6951,515.0962,800,1400
103,1168.2828,511.79688,800,1400
104,1163.7517,506.8037,800,1400
105,1162.7523,511.67935,800,1400
106,1160.0651,517.6765,800,1400
107,1155.2722,519.707,800,1400
108,1149.9503,520.65393,800,1400
109,1145.8531,521.8376,800,1400
110,1144.9863,524.534,800,1400
111,1129.1917,524.4776,800,1400
112,1103.6746,517.20135,800,1400
113,1086.666,507.59918,800,1400
114,1074.7981,502.69836,800,1400
115,1062.8203,501.77368,800,1400
116,1060.118,502.80185,800,1400
117,1071.8447,505.33023,800,1400
118,1096.2979,510.5012,800,1400
119,1114.7601,509.4496,800,1400
120,1112.4882,509.22656,800,1400
121,1098.8284,508.7016,800,1400
122,1086.7087,505.76633,800,1400
123,1081.1619,505.9127,800,1400
124,1078.0712,501.7365,800,1400
125,1072.1395,496.89087,800,1400
126,1070.479,492.61313,800,1400
127,1063.3279,490.5066,800,1400
128,1055.8866,489.14468,800,1400
129,1041.5625,488.87112,800,1400
130,1025.6655,491.11484,800,1400
131,1012.51697,496.75833,800,1400
132,1005.44525,508.52402,800,1400
133,988.7432,512.803,800,1400
134,966.4601,512.1316,800,1400
135,954.2207,513.9474,800,1400
136,952.76227,506.7136,800,1400
137,957.1601,506.08887,800,1400
138,958.61694,495.0063,800,1400
139,939.81573,488.82404,800,1400
140,910.3604,481.2515,800,1400
141,883.36383,480.11206,800,1400
142,871.9321,474.66934,800,1400
143,881.10474,474.54074,800,1400
144,894.0354,471.5618,800,1400
145,904.0054,465.30344,800,1400
146,908.79443,461.36038,800,1400
147,925.00995,451.6389,800,1400
148,942.4803,444.39795,800,1400
149,954.0284,442.90393,800,1400
150,949.249,443.9764,800,1400
151,940.3279,442.07196,800,1400
152,937.0455,440.39105,800,1400
