frame,center_x,center_y,size_x,size_y
1,1654.0,1020.0,1200,1600
2,1652.6858,1023.65454,1200,1600
3,1665.247,1028.4073,1200,1600
4,1655.2979,1029.0144,1200,1600
5,1672.4463,1023.7247,1200,1600
6,1678.3538,1024.8501,1200,1600
7,1687.9103,1023.1732,1200,1600
8,1701.67,1010.9038,1200,1600
9,1717.7795,1008.51373,1200,1600
10,1728.5142,991.2917,1200,1600
11,1809.325,959.04224,1200,1600
18,1903.6295,942.86273,1200,1600
19,1934.1802,1041.8754,1200,1600
20,1974.1151,1026.4927,1200,1600
21,1982.0798,942.3845,1200,1600
22,1998.8257,959.3022,1200,1600
23,2124.3735,972.41315,1200,1600
24,2025.6884,980.11945,1200,1600
25,2006.0021,1070.052,1200,1600
26,2072.0627,1173.3553,1200,1600
27,2120.8914,1109.5708,1200,1600
28,2187.181,1118.2524,1200,1600
29,2185.66,1097.3408,1200,1600
30,2159.687,1083.8312,1200,1600
31,2134.8188,1079.6698,1200,1600
32,2149.2883,1081.2308,1200,1600
33,2167.3877,1064.881,1200,1600
34,2163.5327,1058.033,1200,1600
35,2186.6294,1108.4547,1200,1600
36,2163.7583,1102.9441,1200,1600
37,2110.8047,1084.4917,1200,1600
38,2101.9734,1072.0863,1200,1600
39,2072.4045,1049.6942,1200,1600
40,2077.0168,1070.9578,1200,1600
41,2080.1187,1116.973,1200,1600
42,2080.1855,1143.5374,1200,1600
43,2130.5947,1162.4429,1200,1600
44,2173.1484,1177.2772,1200,1600
45,2208.1301,1183.5826,1200,1600
46,2228.28,1139.4663,1200,1600
47,2184.6807,1054.8147,1200,1600
48,2113.9304,1021.29675,1200,1600
49,2137.2466,1007.01495,1200,1600
50,2102.4456,992.0843,1200,1600
51,1988.4592,969.5308,1200,1600
52,1886.8235,936.3078,1200,1600
53,1891.9227,954.28955,1200,1600
54,1903.8232,964.3678,1200,1600
55,1903.7126,941.6273,1200,1600
56,1971.0911,945.22955,1200,1600
57,2032.0046,904.8248,1200,1600
58,2102.9094,918.7445,1200,1600
59,2184.6414,922.8628,1200,1600
60,2217.4092,928.4288,1200,1600
61,2229.051,997.01685,1200,1600
62,2208.201,1023.6226,1200,1600
63,2149.4795,1004.63135,1200,1600
64,2077.37,989.86566,1200,1600
65,2016.5957,1009.1977,1200,1600
66,2022.7014,1062.9786,1200,1600
67,2108.3413,1119.3876,1200,1600
68,2223.5066,1133.0856,1200,1600
69,2341.351,1060.6844,1200,1600
70,2346.5176,1006.0511,1200,1600
71,2317.393,966.8924,1200,1600
72,2133.2302,909.6625,1200,1600
73,2047.7964,916.8965,1200,1600
74,1978.5729,962.9376,1200,1600
75,1952.6965,993.8511,1200,1600
76,1920.2264,999.1358,1200,1600
77,1924.6619,987.14374,1200,1600
78,1954.0435,967.60175,1200,1600
79,2037.0723,963.2673,1200,1600
80,2034.2551,911.45416,1200,1600
81,2103.0776,854.0268,1200,1600
82,2102.7092,770.8702,1200,1600
83,2072.2952,758.4859,1200,1600
84,2065.9548,705.55853,1200,1600
85,2134.154,684.46405,1200,1600
86,2173.5513,735.9194,1200,1600
87,2107.694,760.34955,1200,1600
88,2153.0732,1189.8308,1200,1600
89,2061.4001,1222.5566,1200,1600
90,2040.4507,1254.035,1200,1600
91,2066.6611,1285.7686,1200,1600
92,2093.0972,1271.2834,1200,1600
93,2142.3828,1235.0076,1200,1600
94,2235.7498,1229.881,1200,1600
95,2334.0256,1192.4374,1200,1600
96,2344.454,1157.295,1200,1600
97,2355.98,1143.5621,1200,1600
98,2400.7363,1101.9333,1200,1600
99,2438.7488,1102.5613,1200,1600
100,2383.9321,1031.859,1200,1600
101,2321.386,967.16864,1200,1600
102,2234.9648,990.2203,1200,1600
103,2257.2578,1037.0364,1200,1600
104,2229.772,1147.4248,1200,1600
105,2159.459,1140.7395,1200,1600
106,2164.0806,1119.4093,1200,1600
107,2208.707,1073.4646,1200,1600
108,2267.1028,1057.1215,1200,1600
109,2278.3713,1081.8656,1200,1600
110,2296.9368,1086.4198,1200,1600
111,2336.0544,1076.4329,1200,1600
112,2372.2498,1105.4867,1200,1600
113,2371.1506,1092.8774,1200,1600
114,2359.4233,1071.1035,1200,1600
115,2284.696,1041.1678,1200,1600
116,2226.259,1019.2161,1200,1600
117,2266.1003,1099.9429,1200,1600
118,2332.3408,1098.8889,1200,1600
119,2407.9648,1076.2878,1200,1600
120,2520.2817,1055.462,1200,1600
121,2582.8684,974.80774,1200,1600
122,2610.6855,945.9458,1200,1600
123,2654.4473,895.0179,1200,1600
124,2697.9424,881.91833,1200,1600
125,2720.6533,897.28424,1200,1600
126,2712.4631,963.9881,1200,1600
127,2691.0122,952.6047,1200,1600
128,2605.3137,985.53345,1200,1600
129,2551.3142,1029.4497,1200,1600
130,2513.2874,1155.5013,1200,1600
131,2473.1052,1111.152,1200,1600
132,2478.4478,969.0261,1200,1600
133,2439.19,891.7571,1200,1600
134,2448.589,844.64996,1200,1600
135,2462.6445,870.5915,1200,1600
136,2484.79,947.2342,1200,1600
137,2489.895,958.7884,1200,1600
138,2450.0964,880.8631,1200,1600
139,2412.842,870.34534,1200,1600
140,2328.1492,906.0682,1200,1600
141,2301.4187,885.97455,1200,1600
142,2293.0425,854.60785,1200,1600
143,2321.4724,795.36456,1200,1600
144,2418.1558,765.843,1200,1600
145,2469.2278,729.78723,1200,1600
146,2429.3262,675.44354,1200,1600
147,2353.7556,675.8166,1200,1600
